Todos os pontos gerados:
-2050, 0
-1831.35, 41.1578
-1732.84, 42.3013
-1659.42, 94.6626
-1537.9, 270.528
-1293.13, 414.688
-1122.97, 471.304
-903.909, 546.409
-670.063, 538.196
-512.837, 750.726
-421.957, 931.571
-330.327, 1079.78
-35.0196, 1110.06
242.809, 1102.1
508.473, 1061.09
471.074, 924.348
648.883, 1117.15
594.068, 1266.37
779.914, 1130.63
903.983, 1238.59
1182.7, 1337.63
872.691, 1019.19
981.124, 788.949
1324.71, 1315.2
1575.04, 1214.49
1859.29, 1165.46
1807.43, 876.773
1936.29, 1245.62
2196.73, 1261.42
2374.4, 1428.36
2594.85, 1332.93
1140.16, 1478.6
2816.79, 1426.12
2384.59, 1554.16
3064.56, 1291.36
3177.02, 1246.76
1921.09, 862.941
1966.63, 696.864
3303.02, 1507.37
2164.84, 781.692
1112.59, 844.56
2338.7, 1685.47
1999.42, 556.548
1200.87, 1652.5
1516.01, 1096.96
2289.64, 1890.61
2200, 800
530.372, 1437.92
3360.24, 1132.39
1892, 995
2962, 1262
1263.64, 1873.93
3095, 1131
3339.63, 1763.8
3358.76, 1868.9
3462.8, 2074.24
3202.19, 2209.3
1096.64, 732.845
1132.7, 441.569
2828.48, 1567.48
1347.92, 2025.81
2081.49, 501.992
2931.91, 1008.88
2465, 1248
1929, 1232
2481.55, 1023.71
1276.53, 2102.83
1219, 1224
3104, 1362
2936.54, 835.913
1390.17, 2343.46
3619.69, 1705.36
1415, 1316
3059.06, 2144.72
1337.7, 2432.66
920, 498
522.428, 1613.95
3532.68, 1010.43
2058.08, 1865.67
1075.05, 2186.82
3679.84, 2184.57
3716.78, 2419.31
2200, 800
3571, 1776
363.534, 1208.8
3832.93, 1801.63
2386.32, 1979.44
1596, 1250
2362, 1000
2302, 1791
1657.47, 2348.35
3651.88, 2577.19
1396.07, 983.801
859.969, 2390.75
2490.86, 2237.59
3592.57, 868.865
2200, 800
951, 879
632, 825
1123, 2181
3313, 2177
0.957072, 1281.57
3679.4, 753.346
1807.52, 457.849
769.853, 272.779
1089.6, 1672.53
2342, 1011
2154, 608
363.676, 795.039
3511.89, 2772.56
2975, 934
3849, 2448.14
315.526, 1286.07
3981.08, 1663.98
248.198, 560.612
973, 2519
3730.55, 573.936
2835.75, 587.348
1718, 2544
1228, 535
1898.04, 2688.42
439, 1565
2764.56, 518.022
645.626, 2485.79
2773, 1666
1872.85, 1818.03
407.102, 2441.96
2003.27, 2595.74
743.045, 104.009
735.398, 2158.56
1151, 1690
3388, 1623
2200, 800
2114.45, 2070.11
103.076, 459.208
556, 1808
2879.89, 2055.33
3878.96, 386.487
2200, 800
2937.35, 378.369
2898, 1994
342.533, 1676.49
316.051, 2555.92
3160, 2285
2200, 800
2546.76, 488.909
2013, 449
2394.78, 340.461
1348.06, 2530.82
2804, 2068
1964, 2108
2077, 2213
1819, 2001
3600, 2686
2200, 800
2647, 967
3051.17, 2381.74
2200, 800
2820, 441
2200, 800
2200, 800
1206.74, 376.195
379.611, 501.351
1043, 835
1418.33, 2696.52
896, 2229
2230.95, 318.841
1817.56, 321.887
2476, 292
3847, 2620
3457.41, 2209.6
277.248, 2205.45
1913, 2538
180, 2590
2695, 471
275, 1059
1833, 873
168, 2534
3910.24, 2382.13
2252, 201
3968.84, 360.476
3514, 1894
252, 864
1720, 2348
1748, 1777
2971.51, 2236.28
2201, 218
2571, 1078
2618, 919
2923, 212
2496, 1691
1611, 357
2283, 746
3558.09, 2544.15
3802, 536
3840, 2685
2123, 1914
749, 1174
986.127, 2007.58
2974.2, 619.784
4129.04, 554.963
1699, 1470
2161, 1029
2608, 1545
2040.31, 1243.09
3120, 613
762, 1371
1335, 2228
4042.17, 1512.19
443, 1175
3458, 1121
1004, 1846
2958.52, 2520.32
4201.01, 1509.64
1501.95, 2900.46
4325.78, 350.204
1002, 476
4020, 2629
3283.35, 2078.86
2134, 155
4276.72, 2667.68
465, 2615
2594, 1708
1078.28, 2755.39
1962, 1305
2556, 1506
2390.74, 2202.44
19, 2429
2840, 287
3732.33, 2048.12
261.995, 1817.79
674, 2216
3186.57, 152.272
3008.84, 1977.37
1471, 385
2843.78, 2702.81
2200, 800
2200, 800
1501, 1065
2327, 61
2046, 59
583, 569
966, 2704
1953, 803
1720, 1012
60, 1671
4215, 1460
3804, 428
2203, 122
2991, 300
2458, 991
2200, 800
4441, 311
1759.86, 106.524
2205, 322
3010, 2588
1562.38, 2809.15
1696, 1488
148, 2172
3249.61, 583.929
2491, 434
4134, 2676
4296, 1640
721, 1506
1986, 2209
2702, 1448
2719, 2575
1171.93, 2909.59
4252.88, 84.8783
2200, 800
2200, 800
4158, 1791
4373, 220
2049, 2067
3394, 2270
480, 665
133, 668
2200, 800
519.686, 2813.24
3343, 1191
4068, 2445
2471, 2165
4116.67, 73.1
3660, 777
2090.79, 1763.2
4007.92, 2723.23
3486, 1979
2095, 2643
1933, 458
656, 2915
2357, 297
2520, 782
2023, 2299
1407, 560
4018, 441
2742, 701
2582, 1551
618, 1497
2219, 2008
2741.5, 2781.92
2769.58, 213.054
1057, 2704
2374, 264
4345, 2679
2140, 1758
682.624, 560.803
1810, 557
212, 333
3053, 2179
4162.27, 2304.87
1059, 1067
4254, 1426
440, 2072
87, 1407
3674, 2308
1409, 2591
3935, 2230
2122.96, 2793.56
1414.18, 311.464
657, 448
2475, 449
1772, 1813
3984, 2283
3902, 565
2950, 1996
427, 2199
2885, 1146
723, 2098
3224, 2399
1451, 999
783, 2348
3617.48, 1189.16
2327, 1578
893, 588
4038, 607
3822, 2148
123.865, 924.695
3301.96, 49.3108
1798, 1959
3824.36, 276.091
2969, 1437
4276.39, 2205.38
2426, 2259
4037, 1828
3594, 2906
3072, 1390
2208.41, 2360.8
3352.18, 1425.4
3662.73, 931.41
1643, 1525
362, 1587
4131, 1292
1247, 1279
3392, 464
2514.14, 666.823
2200, 800
128.232, 2830.25
768, 565
2460, 2234
1026, 2233
1335, 819
711, 638
450, 1043
1479, 2507
4235, 2275
214, 2105
337, 2051
2664.09, 2017.72
3564, 2192
333, 934
1910, 583
3841, 2772
3008.15, 2953.41
2255, 1389
3750.87, 910.622
3710, 186
2389, 1492
3577, 2761
3199, 1551
2564.3, 2624.9
2591, 1604
3759, 1766
2343, 1976
2435, 337
4300, 720
4370, 671
4041, 2087
1575.06, 36.2869
3342, 1954
2381, 783
1448, 1792
1439, 918
2531, 1874
1945, 532
4228.21, 1226.18
1177, 1470
1407, 1000
3095, 2448
1837, 1825
2412, 2363
2814, 1515
3501, 956
3829, 2196
3091, 654
998, 992
1983, 1662
1580, 2807
1269.68, 1490.48
1692, 1597
4067, 111
2200, 800
4404, 2377
2724, 1057
2665, 904
1265, 1921
1000, 2329
2851, 2441
457, 675
4072, 1854
335, 383
882, 1549
2819, 196
3592, 870
4304, 616
3732, 2064
97, 1893
3755, 2153
566, 2221
3309.39, 2772.04
2200, 800
806, 2703
3745, 2210
3078.47, 2683.21
4007, 1901
2200, 800
2200, 800
695, 254
3227.98, 1779.9
889.708, 73.1961
936, 1225
1835, 1343
787, 1329
2999, 2259
4098, 2191
4092, 2117
3046, 2618
4375, 116
