0,1
1430,750
1427,781
1419,811
1405,840
1387,865
1365,887
1340,905
1311,919
1281,927
1250,930
1218,927
1188,919
1160,905
1134,887
1112,865
1094,840
1080,811
1072,781
1070,750
1072,718
1080,688
1094,660
1112,634
1134,612
1160,594
1188,580
1218,572
1250,570
1281,572
1311,580
1340,594
1365,612
1387,634
1405,660
1419,688
1427,718
1430,2250
1427,2281
1419,2311
1405,2340
1387,2365
1365,2387
1340,2405
1311,2419
1281,2427
1250,2430
1218,2427
1188,2419
1160,2405
1134,2387
1112,2365
1094,2340
1080,2311
1072,2281
1070,2250
1072,2218
1080,2188
1094,2160
1112,2134
1134,2112
1160,2094
1188,2080
1218,2072
1250,2070
1281,2072
1311,2080
1340,2094
1365,2112
1387,2134
1405,2160
1419,2188
1427,2218
3430,750
3427,781
3419,811
3405,840
3387,865
3365,887
3340,905
3311,919
3281,927
3250,930
3218,927
3188,919
3160,905
3134,887
3112,865
3094,840
3080,811
3072,781
3070,750
3072,718
3080,688
3094,660
3112,634
3134,612
3160,594
3188,580
3218,572
3250,570
3281,572
3311,580
3340,594
3365,612
3387,634
3405,660
3419,688
3427,718
3430,2250
3427,2281
3419,2311
3405,2340
3387,2365
3365,2387
3340,2405
3311,2419
3281,2427
3250,2430
3218,2427
3188,2419
3160,2405
3134,2387
3112,2365
3094,2340
3080,2311
3072,2281
3070,2250
3072,2218
3080,2188
3094,2160
3112,2134
3134,2112
3160,2094
3188,2080
3218,2072
3250,2070
3281,2072
3311,2080
3340,2094
3365,2112
3387,2134
3405,2160
3419,2188
3427,2218
4680,1500
4677,1531
4669,1561
4655,1590
4637,1615
4615,1637
4590,1655
4561,1669
4531,1677
4500,1680
4468,1677
4438,1669
4410,1655
4384,1637
4362,1615
4344,1590
4330,1561
4322,1531
4320,1500
4322,1468
4330,1438
4344,1410
4362,1384
4384,1362
4410,1344
4438,1330
4468,1322
4500,1320
4531,1322
4561,1330
4590,1344
4615,1362
4637,1384
4655,1410
4669,1438
4677,1468
